id,nombre,tipo,marca,modelo,serial,estado,fecha_adquisicion,valor,descripcion,creado_en,usuario_id,tipo_nombre,tipo_id
521,Máquina de Humo,Maquina Humo,,,PT0203,bueno,,,,2026-03-24 17:18:38.60378,26,Maquina Humo,18
522,Panel Acústico,Panel Acustico,,,PT0202,bueno,,,,2026-03-24 17:18:38.60378,26,Panel Acustico,18
523,Panel LED,Panel Led,,,PT0201,bueno,,,,2026-03-24 17:18:38.60378,26,Panel Led,18
524,Luz Godox,Pantalla led,,,PT0199,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
525,Luz Godox,Pantalla led,,,PT0198,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
526,Luz Godox,Pantalla led,,,PT0197,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
527,Luz Godox,Pantalla led,,,PT0196,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
528,Luz Godox,Pantalla led,,,PT0195,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
529,Godox,Pantalla led,,,PT0194,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
530,Godox,Pantalla led,,,PT0193,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
531,Godox,Pantalla led,,,PT0192,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
532,Godox,Pantalla led,,,PT0191,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
533,Godox,Pantalla led,,,PT0190,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
534,Parlet Luces Rectangular,Pantalla led,,,PT0189,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
535,Micrófono,Microfono,,,PT0185,bueno,,,,2026-03-24 17:18:38.60378,26,Microfono,18
537,ALTAVOZ BOSE,Bafle,,,PT0183,bueno,,,,2026-03-24 17:18:38.60378,26,Bafle,18
538,Luz LED,Pantalla led,,,PT0188,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
539,Luz LED,Pantalla led,,,PT0187,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
540,Luz LED,Pantalla led,,,PT0186,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
541,Luz LED,Pantalla led,,,PT0182,bueno,,,,2026-03-24 17:18:38.60378,26,Pantalla led,18
542,Parlet de Luces,Luz parlet,,,PT0181,bueno,,,,2026-03-24 17:18:38.60378,26,Luz parlet,18
543,Parlet de Luces,Luz parlet,,,PT0180,bueno,,,,2026-03-24 17:18:38.60378,26,Luz parlet,18
544,Parlet de Luces,Luz parlet,,,PT0179,bueno,,,,2026-03-24 17:18:38.60378,26,Luz parlet,18
545,Parlet de Luces,Luz parlet,,,PT0178,bueno,,,,2026-03-24 17:18:38.60378,26,Luz parlet,18
546,Televisor Producción,Televisores,,,PT0177,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
547,Televisor Producción,Televisores,,,PT0176,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
548,Televisor Producción,Televisores,,,PT0175,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
549,Televisor Producción,Televisores,,,PT0174,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
550,Televisor Producción,Televisores,,,PT0173,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
551,Televisor Producción,Televisores,,,PT0172,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
552,Televisor Producción,Televisores,,,PT0171,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
553,Televisor Producción,Televisores,,,PT0170,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
554,Televisor Producción,Televisores,,,PT0169,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
555,Televisor Producción,Televisores,,,PT0168,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
556,Televisor Producción,Televisores,,,PT0167,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
557,Televisor Producción,Televisores,,,PT0166,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
558,Televisor Producción,Televisores,,,PT0165,bueno,,,,2026-03-24 17:18:38.60378,26,Televisores,18
